No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
3847,kenak biaya pengiriman dokumen tapi stnk yg sudah tercetak tidak dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.984
3848,ini namanya pungli berarrti,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.66
3849,Sangat membantu tanpa perlu antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
3850,susah verifikasi data selalu di tolak padahal saya mau bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.998
3851,apk aneh ga bsa daftar pdhal data sesuai,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.998
3852,biasanya bayar lancar aja sekarang susah ya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.7
3853,kebanyakan erornya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.96
3854,NIK tidak terbaca harus verifikasi ke dukcapil terus bulan kemarin bayar pajak ko bisa bikin KK baru ko bisa aneh,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.987
3855,padahal memudahkan kita membayar pajak tpi aplikasinya sekarang susah diakses,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.797
3856,kenapa saat memilih bank selalu loading sudah beberapa kali saya ganti data dan wifi tetap loading tidak bisa memilih bank,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.967
3857,friendly user,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.489
3858,bagus bgt aplikasi ini,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.791
3859,aku di solo tp perpnjg kndaaran plat jogja gak smpe hr surat pajak stnk udah smpe rumah solo,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.97
3860,sudah langganan menggunakan aplikasi ini ga ribet dan ga harus antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.933
3861,user interface manarik penggunaan mudah,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.982
3862,alhamdulillah amanah yah dan jadi lebih mudah bayarnya secara online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
3863,saya mau bayar pajak selalu belum jatuh tempo padahal status stnk sudah tidak aktif,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.992
3864,chat via email tidak ada tanggapan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.891
3865,pelayanan palling buruk,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.965
3866,prosesnya sampai stnk datang kerumah agak lama tapi akhirnya sampe juga makasihh,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.471
3867,mudah stknk baru langsung dikirim kealamat pemilik langsung terimakasih,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.954
3868,aplikasi ny sangat membantu cepat prosesnya dan gampang,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
3869,sangat memudahkan masyarakat serta menghindari pungli dalam lingkungan Samsat,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.995
3870,lebih dri SLA bayar senin minggu baru smpai stnkb nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.941
3871,keren amanah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
3872,sangat membantu bagi yang sibuk buat dateng ke samsat,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.821
3873,terimakasih sangat membantu buat bayar pajak gak perlu antri cukup dari rumah aja tinggal tunggu stnk baru sampai ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
3874,mantul semoga Ganti kaleng dan balik nama bisa dengan online,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.946
3875,aplikasi kagak berguna cuma eror mulu,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.997
3876,sangat membantu.terimakasih semuanya,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.553
3877,Pelayanan cepat dan mudah,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
3878,mudah tdk ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.975
3879,alhamdulillah proses bayar pajak kendaraan sangat mudah menggunakan aplikasi Signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
3880,kenapa ya saya tidak bisa menambahkan data motor padahal sudah benar masukan nomor rangka terakhir,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.674
3881,alternatif solusi,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.888
3882,semoga kecepatan pelayanannya bisa lebih ditingkatkan lagi kedepannya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.734
3883,sangat membantu jadi ga perlu antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
3884,mantap pokok nya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.998
3885,masih yang terbaik diantara yang lain,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.933
3886,sangat bermanfaat untuk yg bekerja pagi,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.768
3887,aplikasi loading parah,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.996
3888,padahal ini saya mau bayar pajak untuk kalian yang makan duit rakyat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.967
3889,loading parah,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.991
3890,praktis untuk pembayaran pajak namun banyak pembayaran adminnya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.803
3891,Bayar Pajak Kendaraan Jadi Sangat Lebih Mudah Lewat Aplikasi SIGNAL,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.952
3892,mantap mempermudah bayar pajak utk yg merantau d luar daerah jd ga perlu pulang utk bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
3893,T.O.P,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.907
3894,pak mau nanya apakah aplikasi ini termasuk pembayaran BPKB juga soalnya saya bacanya hanya STNK saja mohon dijawab terimakasih,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.633
3895,proses pengiriman lama,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.628
3896,Mantap aplikasi yg sangat memudahkan,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
3897,trm ksh,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.823
3898,mengecewakan aplikasi yang belum siap digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.874
3899,pembayaran gagal terus,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.909
3900,sangat membantu walaupun sempat error saat proses pembayaran,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.76
3901,semoga kedepannya lebih ditingkatkan lagi untuk proses pembayarannya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.973
3902,proses cepat dan ga ribett,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.908
3903,cuma lama diproses kirimnya aja,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.557
3904,hari baru sampai,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.537
3905,mantap klo ganti kaleng bisa juga ga ya online kaya gini tinggal tunggu kiriman kaleng aja matap klo bisa,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.846
3906,jos gandossss,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.843
3907,lumayan cepat bayar pajak online enak tinggal nunggu dirumah aja gak usah ngantri ke samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.992
3908,membantu tidak mengantri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
3909,sangat membantu sekali terimaksih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
3910,terimakasih signal sangat mmbantu sekali,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.985
3911,lumayan sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.952
3912,lebih cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.978
3913,kalau bisa sekalian sama pajak yang tahunan lewat aplikasi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.477
3914,sangat membantu apalagi kalau cara daftarnya hanya dengan STNK walau kendaraan milik orang lain intinya kan ingin bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.541
3915,cepe gk perlu harus antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.995
3916,mantafff sekalian bisa balik nama disini biar ga riweuh,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.578
3917,kenapa kode bayar tidak ditemukan sampe sudah jatuh tempo ini gabisa tolong diperbaiki kita niat taat pajak tapi dipersulit,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.917
3918,manteb eh dikirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.979
3919,ini sudah dikirim tp stempelnya kosong gmana ya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.963
3920,Aplikasi sederhana namun fungsionalnya ok banget,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.804
3921,Hanya hari kalender utk sampai di rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.882
3922,Pelayanan dari Samsat DKI dan PT,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.962
3923,Pos layak diberi,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.492
3924,Tksh,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.598
3925,gabisa login,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.538
3926,Harus banyak yang harus ditingkatkan lagi call center ga bisa di hubungin stnk ga dikirim komplain ke instagram pos indonesia baru di pick up total dari ngurus sampai stnk sampai rumah hari,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.962
3927,Aplikasi gk guna,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.416
3928,Mau bayar aja susah bgt,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.993
3929,udh coba ke atm bri alfamart indomaret shopeepay gagal semua,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.993
3930,cs nya juga gk membantu cmn d suruh nyoba berkala,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.98
3931,Udh d voba berkala tp tetep aja gk bisa sampai jatuh tempo,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.93
3932,pelayanannya cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.983
3933,lebih mudah dan sat set pake aplikasi ini,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
3934,memudahkan sekali urusan perpajakan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.947
3935,mantap mudah dan cepat antar pulau,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,1.0
3936,dikirimnya ke kantor kelurahan tapi tidak ada konfirmasi dari kurir pos nya tau tau udah terkirim aja,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.994
3937,mantap n praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
3938,mantaap gk perlu cape ngantri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
3939,sangat bagus dan membantu sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.988
3940,perpanjang pajak bisa lebih mudah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.989
3941,tetep yang terbaik presisi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.628
3942,sangat membantu bagi para perantau,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.975
3943,menjadikan mudah buat bayar pajak tidak perlu mengantri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.992
3944,aplikasinya bagus dan memudahkan masyarakat untuk pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.994
3945,bermanfaat semoga lebih baik lagi,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.746
3946,Soal kode pembayaran eror Respon harus ditingkatkan lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.964
3947,pengiriman cepat cuman untuk stamp didepan g da karena g langsung kekntor apa kalau online g lerlu stamp pengesahan yang lembar depan y,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.564
3948,sanggar membantu aplikasi ya.mantap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.886
3949,bagus aplikasi ini sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.995
3950,bayar pajak online mantap,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.937
3951,mohon maaf pak bu saya sudah melakukan pembayaran stnk online sejak tanggal april tetapi sampai sekarang stnk belum di kirim kirim status nya di aplikasi signal masih penertiban dokumen digital atau masih saya juga sudah komplen melalui email sempat di suruh ngisi biodata kendaraan tetapi sampai sekarang stnk belum di kirim kirim mohon bantuan nya pak bu,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.902
3952,pengiriman ga tepat waktu sering molor saran jangan pake pos indonesia,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.677
3953,mantap semakin canggih dan menghemat waktu pembayaran via online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
3954,cepat dan efektif,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
3955,mantap cepat dan sangat menghemat waktu dan tenaga good Poko nya buat signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,1.0
3956,pelayanan ok,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.739
3957,aplikasi Signal sangat membantu,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.95
3958,sangat puas atas layanan yg telah diberikan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.938
3959,sekarang jadi gampang perpanjangan plat tanpa harus datang ke samsat mudah an kedepannya perpanjangan plat jg dipermudahkan,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.962
3960,sekarang gampang banget bayar pajak bisa online hemat waktu dan biaya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.973
3961,ok. bgt,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.594
3962,alhamdulillah sangat membantu sekali untuk saya membayar pajak gak ribet harus datang ke samsat tinggal lewat hap semua sudah selesai dan tidak menunggu waktu lama kurang lebih seminggu sudah diantar sampai dirumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
3963,bolelaaa,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.502
3964,tapi kadang eror aplikasinya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Negatif,0.993
3965,padahal kuota baru beli,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.898
3966,jadi aplikasinya kadang bisa,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Negatif,0.806
3967,kadang tdk bisa,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Negatif,0.715
3968,sangat membantu dan mengurangi pungli para oknum,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.986
3969,Poko y keren puas GK hrs pulkam bayar pajak membantu skli,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
3970,metode pembayaran mesti diperluas dng bank swasta spt bca agar mudah makasi,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.892
3971,data ga lengkap cek motor ga smuanya bisa ga terdata,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.776
3972,Membantu Banget ngga Aplikasi ini jadi ngga usah ke kantor samsat males ngantri,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.997
3973,lama sampai nya harus dikomplain baru dipercepat tolong stabilin lagi yak soal pengiriman nya solat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.642
3974,Sangat sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.896
3975,proses cepat fisik stnk sudah di terima dg baik,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.866
3976,Btw ijin tanya sekarang untuk lembar stnk cuma lembar depan saja kah untuk lembar belakang tidak ada,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.45
3977,memudahkan bgt buat bayar pajak JD GK perlu repot ke Samsat tp pengiriman nya klo bisa d percepat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.995
3978,sangat mambantu terimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.959
3979,Sangat membantu untuk yang punya aktifitas banyak,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.911
3980,aplikasi masih kadang error terkait pembayaran online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.988
3981,ok mantul mantap betul,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
3982,hari kerja langsung dikirim terimakasih,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.867
3983,keren simple langsung beres nggak ribet makacih banyak yaaa,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
3984,prosesnya cepat paling pas proses pengirimannya aja sih di aplikasi tuh nggak up to date pelacakannya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.734
3985,okk cepet pelayanan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.986
3986,pengiriman ok,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.616
3987,kerja samsat nya sangat lambat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.902
3988,Proses Cepat bagi yang tidak mau antri di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.987
3989,perpanjangan pajak jadi praktis dan cepet bgt prosesnya.semoga makin meningkat pelayanan ke masyarakat nya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
3990,cepat prosesnya tapi masih perlu print stnk asli ke samsat,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.693
3991,tanpa ribet semoga makin sukses dan jaya apapun itu kewajiban masyarakat tolong semakin dipermudah lagi karena saling bersinergi jaya selalu samsat SIGNAL,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.995
3992,Aplikasi ini sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.927
3993,Puassss,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.733
3994,Sangat membantu dan mudah sedikit saran untuk tulisan hasil cetaknya kurang jelas dan kecil,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.828
3995,mohon dapat di perbaiki,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.979
3996,Alhamdulillah usulan perbaikannya sudah di lakukan terima kasih terus memberikan kemudahan dan manfaat buat masyarakat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
3997,STNK di trima dengan aman,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.976
3998,app sangat memudahkan dan bermanfaat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.984
3999,Mantap tanpa calo,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.986
4000,sigap cepat tepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.987
4001,semoga lebih baik lagi,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.869
4002,pajak abis di tanggl mei bayar di tanggal mei jam malam lebih sampai ke rumah di tanggl pas siang mantepp cepet bngett,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.399
4003,mantap sudah x terbantu bayar pajak disini mantap,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
4004,keren cepat sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.98
4005,nga perlu keluar rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.93
4006,mantabb lah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.971
4007,Dateng nya cepet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.739
4008,memudahkan tp admin nya agak mahal,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.624
4009,keren dan mantab,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
4010,alhamdulillah sudah sampai sangat membantu sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
4011,cepat sampainya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.823
4012,sangat membantu dan menghemat waktu saya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.995
4013,dngan adanya aplikasi ini sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.806
4014,tdk usah repot mondar mandir,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.969
4015,Sangat membantu sekali bayar Pajak kendaraan tanpa harus ke SAMSAT dilakukan bisa dimana saja dengan HP dan diantar ke rumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.968
4016,Mantap jadi mudah perpanjang stnk,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.999
4017,bayar pajak kendaraan bermotor semakin mudah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.631
4018,signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.574
4019,sangat membantu sekali utk pelayanan pembyrn pajak kendaraan online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.965
4020,keren aplikasi Signal dari POLRI bikin semua nya jadi mudah bisa perpanjang Pajak Kendaraan dari rumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
4021,mudah dan membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
4022,hemat waktu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.956
4023,sangat memudahkan hanya saran untk dperpanjang mnggu sblm krn proses pngiriman smpai kpemilik hampir minggu biar aman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.798
4024,pertanyaannya jika telat membayar pajak apakah polisi di jalan atau saat razia boleh menilang kita yg telat bayar pajak motor,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.752
4025,bagus simple untuk urus pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
4026,Jadi lebih simple klo bisa biaya admin nya dikurangi ya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.976
4027,guud,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.585
4028,lebih gampang dan hemat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
4029,Memudahkan dan cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.985
4030,Pertahankan,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.928
4031,pengiriman paling lama hari kerja hari libur dan tgl merah jdi lebih lama lagi ya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.971
4032,efektif untuk menghemat wktu tenaga dll,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.998
4033,Aplikasi yang sangat membantu dan proses pengurusan pajak kendaraan secara online juga sangat cepat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.993
4034,mantab jd lebih mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
4035,Sangattt memudahkan dalam pengurusan pajak kendaraan bermotor,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.964
4036,sangat membantu untuk pekerja seperti sy tanpa perlu dtg langsung bisa diantar ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.993
4037,semoga ada layanan cap nya jugaa,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Netral,0.794
4038,terimakasih lebih mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
4039,kode billing benar tapi gagal terus padahal waktu pembayaran masih jam menit,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.98
